"token_normalization","stopword_removal","trimming","alternative_model","k_setting","iteration_setting","Estimate","Q2.5","Q97.5","anchor_variant"
"lemmatization",TRUE,TRUE,TRUE,1,2,0.040773,0.000461,0.08532,"highest_overlap"
"lemmatization",TRUE,TRUE,TRUE,1,2,0.040773,0.000461,0.08532,"social_contacts"
"stemming",TRUE,TRUE,TRUE,1,2,0.027502,-0.012639,0.063631,"max_gendered"
"stemming",TRUE,TRUE,TRUE,1,2,0.0252,-0.015969,0.07855,"highest_overlap"
"stemming",TRUE,TRUE,TRUE,1,2,0.0252,-0.015969,0.07855,"social_contacts"
"none",FALSE,TRUE,TRUE,1,2,-0.005019,-0.012806,5.1e-05,"max_gendered"
"none",FALSE,TRUE,TRUE,1,2,0.054981,0.01799,0.101608,"highest_overlap"
"none",FALSE,TRUE,TRUE,1,2,0.054981,0.01799,0.101608,"social_contacts"
"lemmatization",FALSE,TRUE,TRUE,1,2,0.002798,-0.011064,0.022905,"max_gendered"
"lemmatization",FALSE,TRUE,TRUE,1,2,0.004684,-0.021049,0.026531,"highest_overlap"
"lemmatization",FALSE,TRUE,TRUE,1,2,0.004684,-0.021049,0.026531,"social_contacts"
"stemming",FALSE,TRUE,TRUE,1,2,-0.002934,-0.008411,0.000195,"max_gendered"
"stemming",FALSE,TRUE,TRUE,1,2,0.026592,-0.008639,0.064943,"highest_overlap"
"stemming",FALSE,TRUE,TRUE,1,2,0.026592,-0.008639,0.064943,"social_contacts"
"none",TRUE,FALSE,TRUE,1,2,-0.012688,-0.021308,-0.003939,"max_gendered"
"none",TRUE,FALSE,TRUE,1,2,0.015413,0.000338,0.041004,"highest_overlap"
"none",TRUE,FALSE,TRUE,1,2,0.015413,0.000338,0.041004,"social_contacts"
"lemmatization",TRUE,FALSE,TRUE,1,2,-0.007959,-0.019338,0.003774,"max_gendered"
"lemmatization",TRUE,FALSE,TRUE,1,2,0.053327,0.00276,0.098925,"highest_overlap"
"lemmatization",TRUE,FALSE,TRUE,1,2,0.053327,0.00276,0.098925,"social_contacts"
"stemming",TRUE,FALSE,TRUE,1,2,-0.004299,-0.012415,0.002332,"max_gendered"
"stemming",TRUE,FALSE,TRUE,1,2,0.031715,-0.012578,0.07521,"highest_overlap"
"stemming",TRUE,FALSE,TRUE,1,2,0.031715,-0.012578,0.07521,"social_contacts"
"none",FALSE,FALSE,TRUE,1,2,-0.008268,-0.023331,0.002527,"max_gendered"
"none",FALSE,FALSE,TRUE,1,2,0.043188,0.003688,0.080363,"highest_overlap"
"none",FALSE,FALSE,TRUE,1,2,0.043188,0.003688,0.080363,"social_contacts"
"lemmatization",FALSE,FALSE,TRUE,1,2,-0.005138,-0.012003,0.000425,"max_gendered"
"lemmatization",FALSE,FALSE,TRUE,1,2,0.037552,0.002381,0.07622,"highest_overlap"
"lemmatization",FALSE,FALSE,TRUE,1,2,0.037552,0.002381,0.07622,"social_contacts"
"stemming",FALSE,FALSE,TRUE,1,2,-0.008776,-0.041471,0.030252,"max_gendered"
"stemming",FALSE,FALSE,TRUE,1,2,0.027848,-0.004528,0.069293,"highest_overlap"
"stemming",FALSE,FALSE,TRUE,1,2,0.027848,-0.004528,0.069293,"social_contacts"
"none",TRUE,TRUE,FALSE,1,2,-0.001036,-0.03632,0.035996,"max_gendered"
"none",TRUE,TRUE,FALSE,1,2,0.063688,0.034236,0.09236,"highest_overlap"
"none",TRUE,TRUE,FALSE,1,2,0.063688,0.034236,0.09236,"social_contacts"
"lemmatization",TRUE,TRUE,FALSE,1,2,-0.027672,-0.061869,0.004738,"max_gendered"
"lemmatization",TRUE,TRUE,FALSE,1,2,0.031746,0.005539,0.057253,"highest_overlap"
"lemmatization",TRUE,TRUE,FALSE,1,2,0.031746,0.005539,0.057253,"social_contacts"
"stemming",TRUE,TRUE,FALSE,1,2,0.023355,-0.003812,0.048794,"max_gendered"
"stemming",TRUE,TRUE,FALSE,1,2,0.016864,-0.014239,0.048678,"highest_overlap"
"stemming",TRUE,TRUE,FALSE,1,2,0.016864,-0.014239,0.048678,"social_contacts"
"none",FALSE,TRUE,FALSE,1,2,0.021008,0.008042,0.034505,"max_gendered"
"none",FALSE,TRUE,FALSE,1,2,0.007165,-0.003968,0.018643,"highest_overlap"
"none",FALSE,TRUE,FALSE,1,2,0.007165,-0.003968,0.018643,"social_contacts"
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.044726,-0.075356,-0.015007,"max_gendered"
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.002411,-0.028145,0.022992,"highest_overlap"
"lemmatization",FALSE,TRUE,FALSE,1,2,-0.002411,-0.028145,0.022992,"social_contacts"
"stemming",FALSE,TRUE,FALSE,1,2,0.039978,0.018056,0.061835,"max_gendered"
"stemming",FALSE,TRUE,FALSE,1,2,-0.009652,-0.039206,0.018509,"highest_overlap"
"stemming",FALSE,TRUE,FALSE,1,2,-0.009652,-0.039206,0.018509,"social_contacts"
"none",TRUE,FALSE,FALSE,1,2,0.018582,-0.019144,0.057827,"max_gendered"
"none",TRUE,FALSE,FALSE,1,2,-0.016514,-0.056976,0.02604,"highest_overlap"
"none",TRUE,FALSE,FALSE,1,2,-0.016514,-0.056976,0.02604,"social_contacts"
"lemmatization",TRUE,FALSE,FALSE,1,2,0.058219,0.023569,0.094036,"max_gendered"
"lemmatization",TRUE,FALSE,FALSE,1,2,0.075713,0.03956,0.111561,"highest_overlap"
"lemmatization",TRUE,FALSE,FALSE,1,2,0.075713,0.03956,0.111561,"social_contacts"
"stemming",TRUE,FALSE,FALSE,1,2,-0.001716,-0.038444,0.034269,"max_gendered"
"stemming",TRUE,FALSE,FALSE,1,2,-0.005723,-0.045262,0.031978,"highest_overlap"
"stemming",TRUE,FALSE,FALSE,1,2,-0.005723,-0.045262,0.031978,"social_contacts"
"none",FALSE,FALSE,FALSE,1,2,-0.000553,-0.033012,0.032094,"max_gendered"
"none",FALSE,FALSE,FALSE,1,2,0.044363,0.007681,0.081197,"highest_overlap"
